feature,importance
dist_max_5,6.160150051116943
dow_4,5.609785556793213
dist_min_5,5.254591941833496
ema12_rel,5.054638385772705
rsi7,4.7686448097229
logret_lag_1,4.766811847686768
logret_lag_2,4.709183692932129
mom_5,4.588621139526367
sma_20_rel,4.58052921295166
zscore_20,4.577928066253662
logret_lag_9,4.539829254150391
logret_lag_10,4.53777551651001
logret_lag_7,4.5349555015563965
sma_10_rel,4.525771617889404
rsi14,4.523367404937744
dist_min_10,4.50549840927124
macd_hist,4.50529146194458
sma_5_rel,4.4929633140563965
vol_10,4.429117202758789
mom_20,4.413147926330566
ret_lag_4,4.396023750305176
ret_lag_8,4.385573387145996
ret_lag_5,4.373732566833496
mom_10,4.371240139007568
ret_lag_10,4.3653340339660645
dist_min_20,4.32304048538208
dist_max_20,4.320830345153809
ret_lag_2,4.3188581466674805
dist_max_10,4.294146537780762
logret_lag_6,4.255082130432129
bb_width20,4.25382661819458
ema26_rel,4.220087051391602
ret_lag_3,4.203839302062988
logret_lag_5,4.187743186950684
bb_percent_b20,4.184913158416748
vol_20,4.155145645141602
ret_lag_9,4.151616096496582
macd_sig,4.148617267608643
logret_lag_8,4.14260721206665
logret_lag_3,4.131628036499023
logret_lag_4,4.129749774932861
ret_lag_1,4.123879909515381
vol_5,4.112053871154785
ret_lag_7,4.110222816467285
macd,4.071946620941162
ewm_vol_10,4.043010234832764
mom_3,4.0264787673950195
dow_3,4.020147323608398
ret_lag_6,4.0046820640563965
dow_2,3.9984934329986572
month_cos,3.8344061374664307
month_sin,3.741830825805664
dow_0,3.7406256198883057
dow_1,3.5487799644470215
